"","genus","max.stage","min.stage","GCD","LatRange","LongRange","Extinct","Stage","Regime","phylum","class","order","family"
"57","Atractites","Ladinian","Pliensbachian",7652.21173780547,62.5550186268675,97.1523463833494,0,"Ladinian","background","Mollusca","Cephalopoda","Aulacoceratida","Xiphoteuthididae"
"58","Atreta","Ladinian","Toarcian",NA,NA,NA,0,"Ladinian","background","Mollusca","Bivalvia","Pectinida","Dimyidae"
"59","Atrina","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Mollusca","Bivalvia","Ostreida","Pinnidae"
"60","Aulacoceras","Ladinian","Norian",NA,NA,NA,0,"Ladinian","background","Mollusca","Cephalopoda","Aulacocerida","Aulacoceratidae"
"61","Aulacothyris","Ladinian","Aalenian",914.857905725272,3.85830754296296,7.51081741851852,0,"Ladinian","background","Brachiopoda","Rhynchonellata","Terebratulida","Zeilleriidae"
"62","Aulacothyroides","Ladinian","Norian",3742.43559084773,27.7427321011392,25.7305138906203,0,"Ladinian","background","Brachiopoda","Rhynchonellata","Terebratulida","Zeilleriidae"
"63","Austriellula","Ladinian","Toarcian",NA,NA,NA,0,"Ladinian","background","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae"
"64","Avicula","Ladinian","Sinemurian",5648.21471195721,43.5107276587755,34.4710646453571,0,"Ladinian","background","Mollusca","Bivalvia","Ostreida","Pteriidae"
"65","Avicularca","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Mollusca","Bivalvia","Pectinida","Oxytomidae"
"66","Aviculopecten","Ladinian","Norian",NA,NA,NA,0,"Ladinian","background","Mollusca","Bivalvia","Pectinida","Aviculopectinidae"
"67","Axicrinus","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Echinodermata","Crinoidea","Roveacrinida",NA
"68","Badiotella","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Mollusca","Bivalvia","Pectinida","Limidae"
"69","Badiotites","Ladinian","Carnian",206.638621949748,0.49634751,1.86907693,0,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Badiotitidae"
"70","Bairdia","Ladinian","Toarcian",3908.03590121529,3.1444712,37.61462862,0,"Ladinian","background","Arthropoda","Ostracoda","Podocopida","Bairdiidae"
"71","Bairdiacypris","Ladinian","Toarcian",NA,NA,NA,0,"Ladinian","background","Arthropoda","Ostracoda","Podocopida","Bairdiidae"
"72","Bakevellia","Ladinian","Pliensbachian",7193.53956623511,29.2963966465,68.74080753415,0,"Ladinian","background","Mollusca","Bivalvia","Ostreida","Bakevelliidae"
"73","Balanocrinus","Ladinian","Toarcian",NA,NA,NA,0,"Ladinian","background","Echinodermata","Crinoidea","Isocrinida","Isocrinidae"
"74","Balantioselena","Ladinian","Ladinian",181.77267308866,1.14193275448276,5.00334973793103,1,"Ladinian","background","Mollusca","Bivalvia","Carditida","Astartidae"
"75","Balatonites","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Balatonitidae"
"76","Barbafera","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Annelida","Polychaeta","Sabellida","Serpulidae"
"77","Barrandeites","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Haloritidae"
"78","Bathysynactites","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Echinodermata","Holothuroidea","Aspidochirotida",NA
"79","Bektasia","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Arthropoda","Ostracoda","Platycopida","Cavellinidae"
"80","Belonorhynchus","Ladinian","Norian",NA,NA,NA,0,"Ladinian","background","Chordata","Actinopteri","Saurichthyiformes","Saurichthyidae"
"81","Besania","Ladinian","Ladinian",96.8896370594897,0.266546650363635,0.870704163636361,1,"Ladinian","background","Chordata","Actinopteri","Luganoiiformes","Luganoiidae"
"82","Birgeria","Ladinian","Rhaetian",7257.05100156498,33.71688344,57.07479925,0,"Ladinian","background","Chordata","Actinopteri","Palaeonisciformes","Birgeriidae"
"83","Bittneria","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Mollusca","Bivalvia","Pectinida","Buchiidae"
"84","Bittnerula","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Brachiopoda","Rhynchonellata","Spiriferinida","Bittnerulidae"
"85","Boreiospira","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Brachiopoda","Rhynchonellata","Spiriferinida","Rastelligeridae"
"86","Boreosomus","Ladinian","Ladinian",2856.97914499571,24.5084948337349,9.76593363098795,1,"Ladinian","background","Chordata","Actinopteri","Ptycholepiformes","Ptycholepididae"
